ORDERDATE,SHIPADDRESS,REQUIREDDATE,SHIPNAME,SHIPCOUNTRY,SHIPPEDDATE,EMPLOYEEID,SHIPREGION,FREIGHT,ORDERID,SHIPVIA,SHIPPOSTALCODE,CUSTOMERID,SHIPCITY,SITEID
01/11/1995 12:00:00 AM,"Rua da Panificadora, 12",02/08/1995 12:00:00 AM,Que Delícia,Brazil,01/13/1995 12:00:00 AM,2,RJ,45.03,10379,1,02389-673,BRAZL,Rio de Janeiro,5
01/12/1995 12:00:00 AM,8 Johnstown Road,02/09/1995 12:00:00 AM,Hungry Owl All-Night Grocers,Ireland,02/16/1995 12:00:00 AM,8,Co. Cork,35.03,10380,3,,IRLND,Cork,1
01/12/1995 12:00:00 AM,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,02/09/1995 12:00:00 AM,LILA-Supermercado,Venezuela,01/13/1995 12:00:00 AM,3,Lara,7.99,10381,3,3508,VENEZ,Barquisimeto,3
01/13/1995 12:00:00 AM,Kirchgasse 6,02/10/1995 12:00:00 AM,Ernst Handel,Austria,01/16/1995 12:00:00 AM,4,,94.77,10382,1,8010,AUSTR,Graz,1
01/16/1995 12:00:00 AM,Berguvsvägen  8,02/13/1995 12:00:00 AM,Berglunds snabbköp,Sweden,01/20/1995 12:00:00 AM,3,,168.64,10384,3,S-958 22,SWEDN,Luleå,1
01/16/1995 12:00:00 AM,"Brook Farm, Stratford St. Mary",02/13/1995 12:00:00 AM,Around the Horn,UK,01/18/1995 12:00:00 AM,8,Essex,34.24,10383,3,CO7 6JX,UKDST,Colchester,1
01/17/1995 12:00:00 AM,P.O. Box 555,02/14/1995 12:00:00 AM,Split Rail Beer & Ale,USA,01/23/1995 12:00:00 AM,1,WY,30.96,10385,2,82520,USADI,Lander,9
01/18/1995 12:00:00 AM,Erling Skakkes gate 78,02/15/1995 12:00:00 AM,Santé Gourmet,Norway,01/20/1995 12:00:00 AM,1,,93.63,10387,2,4110,NORWY,Stavern,1
01/18/1995 12:00:00 AM,"Rua Orós, 92",02/01/1995 12:00:00 AM,Familia Arquibaldo,Brazil,01/25/1995 12:00:00 AM,9,SP,13.99,10386,3,05442-030,BRAZL,São Paulo,2
01/19/1995 12:00:00 AM,90 Wadhurst Rd.,02/16/1995 12:00:00 AM,Seven Seas Imports,UK,01/20/1995 12:00:00 AM,2,,34.86,10388,1,OX15 4NB,UKDST,London,7
01/20/1995 12:00:00 AM,23 Tsawassen Blvd.,02/17/1995 12:00:00 AM,Bottom-Dollar Markets,Canada,01/24/1995 12:00:00 AM,4,BC,47.42,10389,2,T2F 8M4,CANAD,Tsawassen,1
01/23/1995 12:00:00 AM,Kirchgasse 6,02/20/1995 12:00:00 AM,Ernst Handel,Austria,01/26/1995 12:00:00 AM,6,,126.38,10390,1,8010,AUSTR,Graz,1
01/23/1995 12:00:00 AM,Walserweg 21,02/20/1995 12:00:00 AM,Drachenblut Delikatessen,Germany,01/31/1995 12:00:00 AM,3,,5.45,10391,3,52066,GERMN,Aachen,4
01/24/1995 12:00:00 AM,Geislweg 14,02/21/1995 12:00:00 AM,Piccolo und mehr,Austria,02/01/1995 12:00:00 AM,2,,122.46,10392,3,5020,AUSTR,Salzburg,2
01/25/1995 12:00:00 AM,187 Suffolk Ln.,02/22/1995 12:00:00 AM,Save-a-lot Markets,USA,02/03/1995 12:00:00 AM,1,ID,126.56,10393,3,83720,USADI,Boise,8
01/25/1995 12:00:00 AM,"City Center Plaza, 516 Main St.",02/22/1995 12:00:00 AM,Hungry Coyote Import Store,USA,02/03/1995 12:00:00 AM,1,OR,30.34,10394,3,97827,USADI,Elgin,2
01/26/1995 12:00:00 AM,Carrera 22 con Ave. Carlos Soublette #8-35,02/23/1995 12:00:00 AM,HILARIÓN-Abastos,Venezuela,02/03/1995 12:00:00 AM,6,Táchira,184.41,10395,1,5022,VENEZ,San Cristóbal,2
01/27/1995 12:00:00 AM,Berliner Platz 43,02/10/1995 12:00:00 AM,Frankenversand,Germany,02/06/1995 12:00:00 AM,1,,135.35,10396,3,80805,GERMN,München,5
01/27/1995 12:00:00 AM,Estrada da saúde n. 58,02/24/1995 12:00:00 AM,Princesa Isabel Vinhos,Portugal,02/02/1995 12:00:00 AM,5,,60.26,10397,1,1756,PORTU,Lisboa,2
01/30/1995 12:00:00 AM,187 Suffolk Ln.,02/27/1995 12:00:00 AM,Save-a-lot Markets,USA,02/09/1995 12:00:00 AM,2,ID,89.16,10398,3,83720,USADI,Boise,8
01/31/1995 12:00:00 AM,Smagsløget 45,02/14/1995 12:00:00 AM,Vaffeljernet,Denmark,02/08/1995 12:00:00 AM,8,,27.36,10399,3,8200,DENMR,Århus,2
02/01/1995 12:00:00 AM,2817 Milton Dr.,03/01/1995 12:00:00 AM,Rattlesnake Canyon Grocery,USA,02/10/1995 12:00:00 AM,1,NM,12.51,10401,1,87110,USADI,Albuquerque,7
02/01/1995 12:00:00 AM,35 King George,03/01/1995 12:00:00 AM,Eastern Connection,UK,02/16/1995 12:00:00 AM,1,,83.93,10400,3,WX3 6FW,UKDST,London,4
02/02/1995 12:00:00 AM,Kirchgasse 6,03/16/1995 12:00:00 AM,Ernst Handel,Austria,02/10/1995 12:00:00 AM,8,,67.88,10402,2,8010,AUSTR,Graz,1
02/03/1995 12:00:00 AM,Kirchgasse 6,03/03/1995 12:00:00 AM,Ernst Handel,Austria,02/09/1995 12:00:00 AM,4,,73.79,10403,3,8010,AUSTR,Graz,1
02/03/1995 12:00:00 AM,Via Ludovico il Moro 22,03/03/1995 12:00:00 AM,Magazzini Alimentari Riuniti,Italy,02/08/1995 12:00:00 AM,2,,155.97,10404,1,24100,ITALY,Bergamo,2
02/06/1995 12:00:00 AM,Ave. 5 de Mayo Porlamar,03/06/1995 12:00:00 AM,LINO-Delicateses,Venezuela,02/22/1995 12:00:00 AM,1,Nueva Esparta,34.82,10405,1,4980,VENEZ,I. de Margarita,4
02/07/1995 12:00:00 AM,"Alameda dos Canàrios, 891",03/21/1995 12:00:00 AM,Queen Cozinha,Brazil,02/13/1995 12:00:00 AM,7,SP,108.04,10406,1,05487-020,BRAZL,São Paulo,6
02/07/1995 12:00:00 AM,Mehrheimerstr. 369,03/07/1995 12:00:00 AM,Ottilies Käseladen,Germany,03/02/1995 12:00:00 AM,2,,91.48,10407,2,50739,GERMN,Köln,9
02/08/1995 12:00:00 AM,"184, chaussée de Tournai",03/08/1995 12:00:00 AM,Folies gourmandes,France,02/14/1995 12:00:00 AM,8,,11.26,10408,1,59000,FRANC,Lille,4
02/09/1995 12:00:00 AM,"Ing. Gustavo Moncada 8585, Piso 20-A",03/09/1995 12:00:00 AM,Océano Atlántico Ltda.,Argentina,02/14/1995 12:00:00 AM,3,,29.83,10409,1,1010,ARGEN,Buenos Aires,2
02/10/1995 12:00:00 AM,23 Tsawassen Blvd.,03/10/1995 12:00:00 AM,Bottom-Dollar Markets,Canada,02/15/1995 12:00:00 AM,3,BC,2.4,10410,3,T2F 8M4,CANAD,Tsawassen,1
02/10/1995 12:00:00 AM,23 Tsawassen Blvd.,03/10/1995 12:00:00 AM,Bottom-Dollar Markets,Canada,02/21/1995 12:00:00 AM,9,BC,23.65,10411,3,T2F 8M4,CANAD,Tsawassen,1
02/13/1995 12:00:00 AM,Torikatu 38,03/13/1995 12:00:00 AM,Wartian Herkku,Finland,02/15/1995 12:00:00 AM,8,,3.77,10412,2,90110,FNLND,Oulu,1
02/14/1995 12:00:00 AM,1 rue Alsace-Lorraine,03/14/1995 12:00:00 AM,La maison d'Asie,France,02/16/1995 12:00:00 AM,3,,95.66,10413,2,31000,FRANC,Toulouse,7
02/14/1995 12:00:00 AM,"Rua Orós, 92",03/14/1995 12:00:00 AM,Familia Arquibaldo,Brazil,02/17/1995 12:00:00 AM,2,SP,21.48,10414,3,05442-030,BRAZL,São Paulo,2
02/15/1995 12:00:00 AM,"City Center Plaza, 516 Main St.",03/15/1995 12:00:00 AM,Hungry Coyote Import Store,USA,02/24/1995 12:00:00 AM,3,OR,0.2,10415,1,97827,USADI,Elgin,2
02/16/1995 12:00:00 AM,Torikatu 38,03/16/1995 12:00:00 AM,Wartian Herkku,Finland,02/27/1995 12:00:00 AM,8,,22.72,10416,3,90110,FNLND,Oulu,1
02/16/1995 12:00:00 AM,Vinbæltet 34,03/16/1995 12:00:00 AM,Simons bistro,Denmark,02/28/1995 12:00:00 AM,4,,70.29,10417,3,1734,DENMR,København,1
02/17/1995 12:00:00 AM,Taucherstraße 10,03/17/1995 12:00:00 AM,QUICK-Stop,Germany,02/24/1995 12:00:00 AM,4,,17.55,10418,1,01307,GERMN,Cunewalde,10
02/20/1995 12:00:00 AM,Starenweg 5,03/20/1995 12:00:00 AM,Richter Supermarkt,Switzerland,03/02/1995 12:00:00 AM,4,,137.35,10419,2,1204,SWISS,Genève,2
02/21/1995 12:00:00 AM,"Rua da Panificadora, 12",04/04/1995 12:00:00 AM,Que Delícia,Brazil,02/27/1995 12:00:00 AM,8,RJ,99.23,10421,1,02389-673,BRAZL,Rio de Janeiro,5
02/21/1995 12:00:00 AM,"Rua do Mercado, 12",03/21/1995 12:00:00 AM,Wellington Importadora,Brazil,02/27/1995 12:00:00 AM,3,SP,44.12,10420,1,08737-363,BRAZL,Resende,9
02/22/1995 12:00:00 AM,Via Monte Bianco 34,03/22/1995 12:00:00 AM,Franchi S.p.A.,Italy,03/03/1995 12:00:00 AM,2,,3.02,10422,1,10100,ITALY,Torino,1
02/23/1995 12:00:00 AM,43 rue St. Laurent,03/23/1995 12:00:00 AM,Mère Paillarde,Canada,02/27/1995 12:00:00 AM,7,Québec,370.61,10424,2,H1J 1C3,CANAD,Montréal,3
02/23/1995 12:00:00 AM,"Av. Brasil, 442",03/09/1995 12:00:00 AM,Gourmet Lanchonetes,Brazil,03/27/1995 12:00:00 AM,6,SP,24.5,10423,3,04876-786,BRAZL,Campinas,3
02/24/1995 12:00:00 AM,1 rue Alsace-Lorraine,03/24/1995 12:00:00 AM,La maison d'Asie,France,03/17/1995 12:00:00 AM,6,,7.93,10425,2,31000,FRANC,Toulouse,7
02/27/1995 12:00:00 AM,Geislweg 14,03/27/1995 12:00:00 AM,Piccolo und mehr,Austria,04/03/1995 12:00:00 AM,4,,31.29,10427,2,5020,AUSTR,Salzburg,2
02/27/1995 12:00:00 AM,"Rambla de Cataluña, 23",03/27/1995 12:00:00 AM,Galería del gastronómo,Spain,03/09/1995 12:00:00 AM,4,,18.69,10426,1,8022,SPAIN,Barcelona,3
02/28/1995 12:00:00 AM,Strada Provinciale 124,03/28/1995 12:00:00 AM,Reggiani Caseifici,Italy,03/07/1995 12:00:00 AM,7,,11.09,10428,1,42100,ITALY,Reggio Emilia,3
03/01/1995 12:00:00 AM,8 Johnstown Road,04/12/1995 12:00:00 AM,Hungry Owl All-Night Grocers,Ireland,03/10/1995 12:00:00 AM,3,Co. Cork,56.63,10429,2,,IRLND,Cork,1
03/02/1995 12:00:00 AM,23 Tsawassen Blvd.,03/16/1995 12:00:00 AM,Bottom-Dollar Markets,Canada,03/10/1995 12:00:00 AM,4,BC,44.17,10431,2,T2F 8M4,CANAD,Tsawassen,1
03/02/1995 12:00:00 AM,Kirchgasse 6,03/16/1995 12:00:00 AM,Ernst Handel,Austria,03/06/1995 12:00:00 AM,4,,458.78,10430,1,8010,AUSTR,Graz,1
03/03/1995 12:00:00 AM,P.O. Box 555,03/17/1995 12:00:00 AM,Split Rail Beer & Ale,USA,03/10/1995 12:00:00 AM,3,WY,4.34,10432,2,82520,USADI,Lander,9
03/06/1995 12:00:00 AM,Estrada da saúde n. 58,04/03/1995 12:00:00 AM,Princesa Isabel Vinhos,Portugal,04/04/1995 12:00:00 AM,3,,73.83,10433,3,1756,PORTU,Lisboa,2
03/06/1995 12:00:00 AM,Åkergatan 24,04/03/1995 12:00:00 AM,Folk och fä HB,Sweden,03/16/1995 12:00:00 AM,3,,17.92,10434,2,S-844 67,SWEDN,Bräcke,2
03/07/1995 12:00:00 AM,"Berkeley Gardens, 12  Brewery",04/18/1995 12:00:00 AM,Consolidated Holdings,UK,03/10/1995 12:00:00 AM,8,,9.21,10435,2,WX1 6LT,UKDST,London,3
03/08/1995 12:00:00 AM,"24, place Kléber",04/05/1995 12:00:00 AM,Blondel père et fils,France,03/14/1995 12:00:00 AM,3,,156.66,10436,2,67000,FRANC,Strasbourg,1
03/08/1995 12:00:00 AM,Torikatu 38,04/05/1995 12:00:00 AM,Wartian Herkku,Finland,03/15/1995 12:00:00 AM,8,,19.97,10437,1,90110,FNLND,Oulu,1
03/09/1995 12:00:00 AM,Luisenstr. 48,04/06/1995 12:00:00 AM,Toms Spezialitäten,Germany,03/17/1995 12:00:00 AM,3,,8.24,10438,2,44087,GERMN,Münster,11
03/10/1995 12:00:00 AM,43 rue St. Laurent,04/07/1995 12:00:00 AM,Mère Paillarde,Canada,03/13/1995 12:00:00 AM,6,Québec,4.07,10439,3,H1J 1C3,CANAD,Montréal,3
03/13/1995 12:00:00 AM,187 Suffolk Ln.,04/10/1995 12:00:00 AM,Save-a-lot Markets,USA,03/31/1995 12:00:00 AM,4,ID,86.53,10440,2,83720,USADI,Boise,8
03/13/1995 12:00:00 AM,2743 Bering St.,04/24/1995 12:00:00 AM,Old World Delicatessen,USA,04/14/1995 12:00:00 AM,3,AK,73.02,10441,2,99508,USADI,Anchorage,6
03/14/1995 12:00:00 AM,Kirchgasse 6,04/11/1995 12:00:00 AM,Ernst Handel,Austria,03/21/1995 12:00:00 AM,3,,47.94,10442,2,8010,AUSTR,Graz,1
03/15/1995 12:00:00 AM,Berguvsvägen  8,04/12/1995 12:00:00 AM,Berglunds snabbköp,Sweden,03/24/1995 12:00:00 AM,3,,3.5,10444,3,S-958 22,SWEDN,Luleå,1
03/15/1995 12:00:00 AM,Strada Provinciale 124,04/12/1995 12:00:00 AM,Reggiani Caseifici,Italy,03/17/1995 12:00:00 AM,8,,13.95,10443,1,42100,ITALY,Reggio Emilia,3
03/16/1995 12:00:00 AM,Berguvsvägen  8,04/13/1995 12:00:00 AM,Berglunds snabbköp,Sweden,03/23/1995 12:00:00 AM,3,,9.3,10445,1,S-958 22,SWEDN,Luleå,1
03/17/1995 12:00:00 AM,"Av. Copacabana, 267",04/14/1995 12:00:00 AM,Ricardo Adocicados,Brazil,04/07/1995 12:00:00 AM,4,RJ,68.66,10447,2,02389-890,BRAZL,Rio de Janeiro,7
03/17/1995 12:00:00 AM,Luisenstr. 48,04/14/1995 12:00:00 AM,Toms Spezialitäten,Germany,03/22/1995 12:00:00 AM,6,,14.68,10446,1,44087,GERMN,Münster,11
03/20/1995 12:00:00 AM,Av. del Libertador 900,04/17/1995 12:00:00 AM,Rancho grande,Argentina,03/27/1995 12:00:00 AM,4,,38.82,10448,2,1010,ARGEN,Buenos Aires,3
03/21/1995 12:00:00 AM,"24, place Kléber",04/18/1995 12:00:00 AM,Blondel père et fils,France,03/30/1995 12:00:00 AM,3,,53.3,10449,2,67000,FRANC,Strasbourg,1
03/22/1995 12:00:00 AM,"2, rue du Commerce",04/19/1995 12:00:00 AM,Victuailles en stock,France,04/11/1995 12:00:00 AM,8,,7.23,10450,2,69004,FRANC,Lyon,10
03/22/1995 12:00:00 AM,Taucherstraße 10,04/05/1995 12:00:00 AM,QUICK-Stop,Germany,04/12/1995 12:00:00 AM,4,,189.09,10451,3,01307,GERMN,Cunewalde,10
03/23/1995 12:00:00 AM,187 Suffolk Ln.,04/20/1995 12:00:00 AM,Save-a-lot Markets,USA,03/29/1995 12:00:00 AM,8,ID,140.26,10452,1,83720,USADI,Boise,8
03/24/1995 12:00:00 AM,1 rue Alsace-Lorraine,04/21/1995 12:00:00 AM,La maison d'Asie,France,03/28/1995 12:00:00 AM,4,,2.74,10454,3,31000,FRANC,Toulouse,7
03/24/1995 12:00:00 AM,"Brook Farm, Stratford St. Mary",04/21/1995 12:00:00 AM,Around the Horn,UK,03/29/1995 12:00:00 AM,1,Essex,25.36,10453,2,CO7 6JX,UKDST,Colchester,1
03/27/1995 12:00:00 AM,Torikatu 38,05/08/1995 12:00:00 AM,Wartian Herkku,Finland,04/03/1995 12:00:00 AM,8,,180.45,10455,2,90110,FNLND,Oulu,1
03/28/1995 12:00:00 AM,Maubelstr. 90,04/25/1995 12:00:00 AM,Königlich Essen,Germany,04/03/1995 12:00:00 AM,2,,11.57,10457,1,14776,GERMN,Brandenburg,6
03/28/1995 12:00:00 AM,Maubelstr. 90,05/09/1995 12:00:00 AM,Königlich Essen,Germany,03/31/1995 12:00:00 AM,8,,8.12,10456,2,14776,GERMN,Brandenburg,6
03/29/1995 12:00:00 AM,"Boulevard Tirou, 255",04/26/1995 12:00:00 AM,Suprêmes délices,Belgium,04/04/1995 12:00:00 AM,7,,147.06,10458,3,B-6000,BELGM,Charleroi,2
03/30/1995 12:00:00 AM,"2, rue du Commerce",04/27/1995 12:00:00 AM,Victuailles en stock,France,03/31/1995 12:00:00 AM,4,,25.09,10459,2,69004,FRANC,Lyon,10
03/31/1995 12:00:00 AM,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,04/28/1995 12:00:00 AM,LILA-Supermercado,Venezuela,04/05/1995 12:00:00 AM,1,Lara,148.61,10461,3,3508,VENEZ,Barquisimeto,3
03/31/1995 12:00:00 AM,Åkergatan 24,04/28/1995 12:00:00 AM,Folk och fä HB,Sweden,04/03/1995 12:00:00 AM,8,,16.27,10460,1,S-844 67,SWEDN,Bräcke,2
04/03/1995 12:00:00 AM,"Berkeley Gardens, 12  Brewery",05/01/1995 12:00:00 AM,Consolidated Holdings,UK,04/18/1995 12:00:00 AM,2,,6.17,10462,1,WX1 6LT,UKDST,London,3
04/04/1995 12:00:00 AM,"Boulevard Tirou, 255",05/02/1995 12:00:00 AM,Suprêmes délices,Belgium,04/06/1995 12:00:00 AM,5,,14.78,10463,3,B-6000,BELGM,Charleroi,2
04/04/1995 12:00:00 AM,Jardim das rosas n. 32,05/02/1995 12:00:00 AM,Furia Bacalhau e Frutos do Mar,Portugal,04/14/1995 12:00:00 AM,4,,89,10464,2,1675,PORTU,Lisboa,1
04/05/1995 12:00:00 AM,Smagsløget 45,05/03/1995 12:00:00 AM,Vaffeljernet,Denmark,04/14/1995 12:00:00 AM,1,,145.04,10465,3,8200,DENMR,Århus,2
04/06/1995 12:00:00 AM,"Av. dos Lusíadas, 23",05/04/1995 12:00:00 AM,Comércio Mineiro,Brazil,04/13/1995 12:00:00 AM,4,SP,11.93,10466,1,05432-043,BRAZL,São Paulo,1
04/06/1995 12:00:00 AM,Via Ludovico il Moro 22,05/04/1995 12:00:00 AM,Magazzini Alimentari Riuniti,Italy,04/11/1995 12:00:00 AM,8,,4.93,10467,2,24100,ITALY,Bergamo,2
04/07/1995 12:00:00 AM,Maubelstr. 90,05/05/1995 12:00:00 AM,Königlich Essen,Germany,04/12/1995 12:00:00 AM,3,,44.12,10468,3,14776,GERMN,Brandenburg,6
04/10/1995 12:00:00 AM,1029 - 12th Ave. S.,05/08/1995 12:00:00 AM,White Clover Markets,USA,04/14/1995 12:00:00 AM,1,WA,60.18,10469,1,98124,USADI,Seattle,13
04/11/1995 12:00:00 AM,"12, rue des Bouchers",05/09/1995 12:00:00 AM,Bon app',France,04/14/1995 12:00:00 AM,4,,64.56,10470,2,13008,FRANC,Marseille,2
04/11/1995 12:00:00 AM,Fauntleroy Circus,05/09/1995 12:00:00 AM,B's Beverages,UK,04/18/1995 12:00:00 AM,2,,45.59,10471,3,EC2 5NT,UKDST,London,2
04/12/1995 12:00:00 AM,90 Wadhurst Rd.,05/10/1995 12:00:00 AM,Seven Seas Imports,UK,04/19/1995 12:00:00 AM,8,,4.2,10472,1,OX15 4NB,UKDST,London,7
04/13/1995 12:00:00 AM,Calle Dr. Jorge Cash 321,05/11/1995 12:00:00 AM,Pericles Comidas clásicas,Mexico,04/21/1995 12:00:00 AM,5,,83.49,10474,2,05033,MEXIC,México D.F.,4
04/13/1995 12:00:00 AM,"Garden House, Crowther Way",04/27/1995 12:00:00 AM,Island Trading,UK,04/21/1995 12:00:00 AM,1,Isle of Wight,16.37,10473,3,PO31 7PJ,UKDST,Cowes,5
04/14/1995 12:00:00 AM,"Boulevard Tirou, 255",05/12/1995 12:00:00 AM,Suprêmes délices,Belgium,05/05/1995 12:00:00 AM,9,,68.52,10475,1,B-6000,BELGM,Charleroi,2
04/17/1995 12:00:00 AM,Carrera 22 con Ave. Carlos Soublette #8-35,05/15/1995 12:00:00 AM,HILARIÓN-Abastos,Venezuela,04/24/1995 12:00:00 AM,8,Táchira,4.41,10476,3,5022,VENEZ,San Cristóbal,2
04/17/1995 12:00:00 AM,Estrada da saúde n. 58,05/15/1995 12:00:00 AM,Princesa Isabel Vinhos,Portugal,04/25/1995 12:00:00 AM,5,,13.02,10477,2,1756,PORTU,Lisboa,2
04/18/1995 12:00:00 AM,"2, rue du Commerce",05/02/1995 12:00:00 AM,Victuailles en stock,France,04/26/1995 12:00:00 AM,2,,4.81,10478,3,69004,FRANC,Lyon,10
04/19/1995 12:00:00 AM,2817 Milton Dr.,05/17/1995 12:00:00 AM,Rattlesnake Canyon Grocery,USA,04/21/1995 12:00:00 AM,3,NM,708.95,10479,3,87110,USADI,Albuquerque,7
04/20/1995 12:00:00 AM,"184, chaussée de Tournai",05/18/1995 12:00:00 AM,Folies gourmandes,France,04/24/1995 12:00:00 AM,6,,1.35,10480,2,59000,FRANC,Lille,4
04/20/1995 12:00:00 AM,"Av. Copacabana, 267",05/18/1995 12:00:00 AM,Ricardo Adocicados,Brazil,04/25/1995 12:00:00 AM,8,RJ,64.33,10481,2,02389-890,BRAZL,Rio de Janeiro,7
04/21/1995 12:00:00 AM,12 Orchestra Terrace,05/19/1995 12:00:00 AM,Lazy K Kountry Store,USA,05/11/1995 12:00:00 AM,1,WA,7.48,10482,3,99362,USADI,Walla Walla,3
04/24/1995 12:00:00 AM,1029 - 12th Ave. S.,05/22/1995 12:00:00 AM,White Clover Markets,USA,05/26/1995 12:00:00 AM,7,WA,15.28,10483,2,98124,USADI,Seattle,13
04/24/1995 12:00:00 AM,Fauntleroy Circus,05/22/1995 12:00:00 AM,B's Beverages,UK,05/02/1995 12:00:00 AM,3,,6.88,10484,3,EC2 5NT,UKDST,London,2
04/25/1995 12:00:00 AM,Ave. 5 de Mayo Porlamar,05/09/1995 12:00:00 AM,LINO-Delicateses,Venezuela,05/01/1995 12:00:00 AM,4,Nueva Esparta,64.45,10485,2,4980,VENEZ,I. de Margarita,4
04/26/1995 12:00:00 AM,"Alameda dos Canàrios, 891",05/24/1995 12:00:00 AM,Queen Cozinha,Brazil,04/28/1995 12:00:00 AM,2,SP,71.07,10487,2,05487-020,BRAZL,São Paulo,6
04/26/1995 12:00:00 AM,Carrera 22 con Ave. Carlos Soublette #8-35,05/24/1995 12:00:00 AM,HILARIÓN-Abastos,Venezuela,05/03/1995 12:00:00 AM,1,Táchira,30.53,10486,2,5022,VENEZ,San Cristóbal,2
04/27/1995 12:00:00 AM,Berliner Platz 43,05/25/1995 12:00:00 AM,Frankenversand,Germany,05/03/1995 12:00:00 AM,8,,4.93,10488,2,80805,GERMN,München,5
04/28/1995 12:00:00 AM,Geislweg 14,05/26/1995 12:00:00 AM,Piccolo und mehr,Austria,05/10/1995 12:00:00 AM,6,,5.29,10489,2,5020,AUSTR,Salzburg,2
05/01/1995 12:00:00 AM,Carrera 22 con Ave. Carlos Soublette #8-35,05/29/1995 12:00:00 AM,HILARIÓN-Abastos,Venezuela,05/04/1995 12:00:00 AM,7,Táchira,210.19,10490,2,5022,VENEZ,San Cristóbal,2
05/01/1995 12:00:00 AM,Jardim das rosas n. 32,05/29/1995 12:00:00 AM,Furia Bacalhau e Frutos do Mar,Portugal,05/09/1995 12:00:00 AM,8,,16.96,10491,3,1675,PORTU,Lisboa,1
05/02/1995 12:00:00 AM,23 Tsawassen Blvd.,05/30/1995 12:00:00 AM,Bottom-Dollar Markets,Canada,05/12/1995 12:00:00 AM,3,BC,62.89,10492,1,T2F 8M4,CANAD,Tsawassen,1
05/03/1995 12:00:00 AM,1 rue Alsace-Lorraine,05/31/1995 12:00:00 AM,La maison d'Asie,France,05/11/1995 12:00:00 AM,4,,10.64,10493,3,31000,FRANC,Toulouse,7
05/03/1995 12:00:00 AM,"Av. dos Lusíadas, 23",05/31/1995 12:00:00 AM,Comércio Mineiro,Brazil,05/10/1995 12:00:00 AM,4,SP,65.99,10494,2,05432-043,BRAZL,São Paulo,1
05/04/1995 12:00:00 AM,2319 Elm St.,06/01/1995 12:00:00 AM,Laughing Bacchus Wine Cellars,Canada,05/12/1995 12:00:00 AM,3,BC,4.65,10495,3,V3F 2K1,CANAD,Vancouver,2
05/05/1995 12:00:00 AM,"Av. Inês de Castro, 414",06/02/1995 12:00:00 AM,Tradição Hipermercados,Brazil,05/08/1995 12:00:00 AM,7,SP,46.77,10496,2,05634-030,BRAZL,São Paulo,8
05/05/1995 12:00:00 AM,Magazinweg 7,06/02/1995 12:00:00 AM,Lehmanns Marktstand,Germany,05/08/1995 12:00:00 AM,7,,36.21,10497,1,60528,GERMN,Frankfurt a.M.,7
05/08/1995 12:00:00 AM,Carrera 22 con Ave. Carlos Soublette #8-35,06/05/1995 12:00:00 AM,HILARIÓN-Abastos,Venezuela,05/12/1995 12:00:00 AM,8,Táchira,29.75,10498,2,5022,VENEZ,San Cristóbal,2
05/09/1995 12:00:00 AM,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,06/06/1995 12:00:00 AM,LILA-Supermercado,Venezuela,05/17/1995 12:00:00 AM,4,Lara,102.02,10499,2,3508,VENEZ,Barquisimeto,3
05/10/1995 12:00:00 AM,1 rue Alsace-Lorraine,06/07/1995 12:00:00 AM,La maison d'Asie,France,05/18/1995 12:00:00 AM,6,,42.68,10500,1,31000,FRANC,Toulouse,7
05/10/1995 12:00:00 AM,Forsterstr. 57,06/07/1995 12:00:00 AM,Blauer See Delikatessen,Germany,05/17/1995 12:00:00 AM,9,,8.85,10501,3,68306,GERMN,Mannheim,2
05/11/1995 12:00:00 AM,Calle Dr. Jorge Cash 321,06/08/1995 12:00:00 AM,Pericles Comidas clásicas,Mexico,05/30/1995 12:00:00 AM,2,,69.32,10502,1,05033,MEXIC,México D.F.,4
05/12/1995 12:00:00 AM,1029 - 12th Ave. S.,06/09/1995 12:00:00 AM,White Clover Markets,USA,05/19/1995 12:00:00 AM,4,WA,59.13,10504,3,98124,USADI,Seattle,13
05/12/1995 12:00:00 AM,8 Johnstown Road,06/09/1995 12:00:00 AM,Hungry Owl All-Night Grocers,Ireland,05/17/1995 12:00:00 AM,6,Co. Cork,16.74,10503,2,,IRLND,Cork,1
05/15/1995 12:00:00 AM,43 rue St. Laurent,06/12/1995 12:00:00 AM,Mère Paillarde,Canada,05/22/1995 12:00:00 AM,3,Québec,7.13,10505,3,H1J 1C3,CANAD,Montréal,3
05/16/1995 12:00:00 AM,Mataderos  2312,06/13/1995 12:00:00 AM,Antonio Moreno Taquería,Mexico,05/23/1995 12:00:00 AM,7,,47.45,10507,1,05023,MEXIC,México D.F.,2
05/16/1995 12:00:00 AM,Maubelstr. 90,06/13/1995 12:00:00 AM,Königlich Essen,Germany,06/02/1995 12:00:00 AM,9,,21.19,10506,2,14776,GERMN,Brandenburg,6
05/17/1995 12:00:00 AM,Mehrheimerstr. 369,06/14/1995 12:00:00 AM,Ottilies Käseladen,Germany,06/13/1995 12:00:00 AM,1,,4.99,10508,2,50739,GERMN,Köln,9
05/18/1995 12:00:00 AM,Forsterstr. 57,06/15/1995 12:00:00 AM,Blauer See Delikatessen,Germany,05/30/1995 12:00:00 AM,4,,0.15,10509,1,68306,GERMN,Mannheim,2
